School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
TAHOLAH ELEMENTARY & MIDDLE SCHOOL,2016-17,Y,13,61.5%,15.4%,23.1%,0%,0%,0%,0%,0%,69.2%,69.2%,61.5%,69.2%,84.6%,69.2%,8,2,3,0,0,0,0,0,4,4,5,4,2,4,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -8,1,1,"PO BOX 249
TAHOLAH
"
TAHOLAH HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"PO BOX 249
TAHOLAH
"
TEKOA ELEMENTARY SCHOOL,2016-17,Y,18,83.3%,16.7%,0%,0%,0%,0%,0%,0%,100%,100%,83.3%,100%,100%,83.3%,15,3,0,0,0,0,0,0,0,0,3,0,0,3,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,"200 N BROADWAY
TEKOA
"
TEKOA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TEKOA SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,0,0,"513 E HENKLE
TEKOA
"
TENINO ELEMENTARY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,0,0,"PO BOX 4024
TENINO
"
TENINO HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"PO BOX 4024
TENINO
"
TENINO MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TENINO SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,0,1,"PO BOX 4024
TENINO
"
THORP ELEM AND JR SR HIGH,2016-17,Y,12,8.3%,8.3%,83.3%,0%,0%,0%,0%,0%,58.3%,58.3%,75%,41.7%,50%,66.7%,1,1,10,0,0,0,0,0,5,5,3,7,6,4,PUBLIC SCHOOL,THORP SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,1,1,"PO BOX 150
THORP
"
TIETON INTERMEDIATE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,4-6,0,1,"PO BOX 6
TIETON
"
TIMBER RIDGE ELEMENTARY SCHOOL,2016-17,Y,116,72.4%,0%,21.6%,6%,1.7%,4.3%,0%,0%,84.5%,84.5%,81%,79.3%,86.2%,79.3%,84,0,25,7,2,5,0,0,18,18,22,24,16,24,PUBLIC SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,"34412 SE SWENSON DR
SNOQUALMIE
"
YELM HIGH SCHOOL 12,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,10-12,0,0,"PO BOX 476
YELM
"
TOLEDO ELEMENTARY SCHOOL,2016-17,Y,43,90.7%,2.3%,4.7%,2.3%,0%,2.3%,0%,0%,93%,93%,93%,93%,97.7%,90.7%,39,1,2,1,0,1,0,0,3,3,3,3,1,4,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-5,1,0,"PO BOX 549
TOLEDO
"
TOLEDO HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"PO BOX 820
TOLEDO
"
TOLEDO MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TOLEDO SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-8,0,1,"PO BOX 668
TOLEDO
"
TOUCHET ELEM AND HIGH SCHOOL,2016-17,Y,14,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,14,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TOUCHET SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -12,1,1,"PO BOX 135
TOUCHET
"
TROJAN ALTERNATIVE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PE ELL SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"P.O. BOX 368
PE ELL
"
TROUT LAKE ELEMENTARY,2016-17,Y,21,61.9%,9.5%,9.5%,19%,9.5%,9.5%,0%,0%,71.4%,71.4%,71.4%,71.4%,61.9%,71.4%,13,2,2,4,2,2,0,0,6,6,6,6,8,6,PUBLIC SCHOOL,TROUT LAKE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -4,1,0,"PO BOX 488
TROUT LAKE
"
TROUT LAKE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TROUT LAKE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,5-12,0,1,"PO BOX 488
TROUT LAKE
"
UNION GAP SCHOOL,2016-17,Y,55,96.4%,1.8%,1.8%,0%,0%,0%,0%,0%,98.2%,98.2%,98.2%,98.2%,100%,100%,53,1,1,0,0,0,0,0,1,1,1,1,0,0,PUBLIC SCHOOL,UNION GAP SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-8,1,1,"3200 S. 2ND STREET
UNION GAP
"
VICTOR FALLS ELEMENTARY,2016-17,Y,87,92%,1.1%,0%,6.9%,0%,6.9%,0%,0%,97.7%,97.7%,97.7%,96.6%,93.1%,95.4%,80,1,0,6,0,6,0,0,2,2,2,3,6,4,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"13802 CANYON FALLS BLVD.
BONNEY LAKE
"
VISTA MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,0,0,"P.O. BOX 1328
FERNDALE
"
WAHLUKE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,"P.O. BOX 907
MATTAWA
"
WAHLUKE JUNIOR HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,6-8,0,1,"PO BOX 907
MATTAWA
"
WAITSBURG ELEMENTARY SCHOOL,2016-17,Y,26,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,26,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WAITSBURG SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,K -6,1,1,"184 ACADEMY
WAITSBURG
"
WALDRON ISLAND SCHOOL,2016-17,Y,1,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,1,0,0,0,0,0,1,1,1,1,1,1,PUBLIC SCHOOL,ORCAS ISLAND SCHOOL DISTRICT,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,1,1,"1 SCHOOL ROAD
WALDRON ISLAND
"
WASHINGTON NETWORK FOR INNOVATIVE CAREERS,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"PO BOX 97039
REDMOND
"
WASHTUCNA ELEMENTARY/HIGH SCHOOL,2016-17,Y,4,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,4,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WASHTUCNA SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 101,K -12,1,1,"P.O. BOX 688
WASHTUCNA
"
WATERVILLE ELEMENTARY,2016-17,Y,31,93.5%,3.2%,3.2%,0%,0%,0%,0%,0%,96.8%,96.8%,100%,96.8%,100%,96.8%,29,1,1,0,0,0,0,0,1,1,0,1,0,1,PUBLIC SCHOOL,WATERVILLE SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -6,1,1,"PO BOX 490
WATERVILLE
"
WATERVILLE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WATERVILLE SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-12,0,0,"PO BOX 490
WATERVILLE
"
WELLPINIT ELEMENTARY SCHOOL,2016-17,Y,26,88.5%,3.8%,7.7%,0%,0%,0%,0%,0%,92.3%,92.3%,96.2%,96.2%,100%,100%,23,1,2,0,0,0,0,0,2,2,1,1,0,0,PUBLIC SCHOOL,WELLPINIT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -5,1,0,"PO BOX 390
WELLPINIT
"
WELLPINIT HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WELLPINIT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,0,0,"PO BOX 390
WELLPINIT
"
WELLPINIT MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WELLPINIT SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,6-8,0,1,"PO BOX 390
WELLPINIT
"
WEST VALLEY CITY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-8,0,1,"8920 E VALLEYWAY
SPOKANE
"
WHITE PASS ELEMENTARY SCHOOL,2016-17,Y,19,57.9%,0%,42.1%,0%,0%,0%,0%,0%,57.9%,57.9%,57.9%,57.9%,94.7%,57.9%,11,0,8,0,0,0,0,0,8,8,8,8,1,8,PUBLIC SCHOOL,WHITE PASS SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"PO BOX 188
RANDLE
"
WHITE SWAN HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOUNT ADAMS SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,"P.O. BOX 578
WHITE SWAN
"
WILBUR ELEMENTARY SCHOOL,2016-17,Y,16,81.3%,12.5%,0%,6.3%,0%,6.3%,0%,0%,87.5%,87.5%,100%,100%,100%,93.8%,13,2,0,1,0,1,0,0,2,2,0,0,0,1,PUBLIC SCHOOL,WILBUR SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"PO BOX 1090
WILBUR
"
WILBUR SECONDARY SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WILBUR SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,0,0,"PO BOX 1090
WILBUR
"
WILLAPA ELEMENTARY,2016-17,Y,22,81.8%,13.6%,0%,4.5%,4.5%,0%,0%,0%,90.9%,90.9%,86.4%,86.4%,95.5%,86.4%,18,3,0,1,1,0,0,0,2,2,3,3,1,3,PUBLIC SCHOOL,WILLAPA VALLEY SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,K -5,1,0,"PO BOX 128
MENLO
"
WILLAPA VALLEY MIDDLE-HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WILLAPA VALLEY SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,6-12,0,1,"PO BOX 128
MENLO
"
WILSON CREEK ELEMENTARY,2016-17,Y,9,66.7%,11.1%,22.2%,0%,0%,0%,0%,0%,77.8%,77.8%,77.8%,66.7%,88.9%,77.8%,6,1,2,0,0,0,0,0,2,2,2,3,1,2,PUBLIC SCHOOL,WILSON CREEK SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -6,1,1,"PO BOX 46
WILSON CREEK
"
WILSON CREEK HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WILSON CREEK SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-12,0,0,"P.O. BOX 46
WILSON CREEK
"
WIND RIVER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,STEVENSON-CARSON SCHOOL DISTRICT,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,7-8,0,0,"P.O. BOX 850
STEVENSON
"
WINDWARD HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"5275 NORTHWEST AVE
FERNDALE
"
WOODINVILLE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,0,0,"19819 136 NE
WOODINVILLE
"
WOODMOOR ELEMENTARY,2016-17,Y,103,88.3%,0%,7.8%,3.9%,0%,3.9%,0%,0%,92.2%,92.2%,92.2%,90.3%,94.2%,91.3%,91,0,8,4,0,4,0,0,8,8,8,10,6,9,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,"12225 NE 160
BOTHELL
"
WOODSIDE ELEMENTARY,2016-17,Y,129,80.6%,0.8%,11.6%,7%,0%,7%,0%,0%,89.1%,89.1%,89.9%,86%,91.5%,86.8%,104,1,15,9,0,9,0,0,14,14,13,18,11,17,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"17000 23RD AVE. SE
EVERETT
"
HILLTOP ELEMENTARY,2016-17,Y,87,86.2%,0%,8%,5.7%,4.6%,1.1%,0%,0%,96.6%,100%,96.6%,95.4%,96.6%,95.4%,75,0,7,5,4,1,0,0,3,0,3,4,3,4,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,"12250 24TH AVE S
SEATTLE
(47.492821, -122.302107)"
HEATHERWOOD MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"1419 TRILLIUM BLVD. SE
MILL CREEK
(47.870061, -122.211463)"
BIG PICTURE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,0,0,"2450 SO. 142ND ST
SEATAC
(47.476122, -122.299024)"
BETHANY LUTHERAN ELEMENTARY,2016-17,Y,13,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,13,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,1,1,"151 TREMONT ST W
PORT ORCHARD
(47.525263, -122.648395)"
GLACIER PEAK HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"1601 AVENUE D
SNOHOMISH
(47.932005, -122.100356)"
AMERICA'S CHILD MONTESSORI,2016-17,Y,3,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,1,0,"14340 NE 21ST
BELLEVUE
(47.628686, -122.149538)"
AMBOY MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,0,1,"22115 NE CHELATCHIE RD
AMBOY
(45.913691, -122.445364)"
BONNEY LAKE CHRISTIAN ACADEMY,2016-17,Y,6,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,6,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,"8201 LOCUST AVE E
BONNEY LAKE
(47.183028, -122.18035)"
CLEVELAND HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"5511 15 AVE S
SEATTLE
(47.552169, -122.313489)"
EVERGREEN HEIGHTS ELEMENTARY,2016-17,Y,99,73.7%,4%,18.2%,4%,0%,3%,1%,0%,86.9%,86.9%,87.9%,86.9%,92.9%,82.8%,73,4,18,4,0,3,1,0,13,13,12,13,7,17,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"5602 S 316TH ST
AUBURN
(47.318782, -122.264346)"
FRANTZ COE ELEMENTARY SCHOOL,2016-17,Y,97,90.7%,0%,7.2%,2.1%,2.1%,0%,0%,0%,96.9%,96.9%,93.8%,96.9%,96.9%,93.8%,88,0,7,2,2,0,0,0,3,3,6,3,3,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"2424 7 AV W
SEATTLE
(47.640667, -122.366278)"
CHRYSALIS SCHOOL (K-8),2016-17,Y,3,33.3%,66.7%,0%,0%,0%,0%,0%,0%,33.3%,33.3%,33.3%,33.3%,33.3%,33.3%,1,2,0,0,0,0,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,1,1,"17005 140TH AVE NE
WOODINVILLE
(47.751067, -122.152662)"
COUPEVILLE ELEMENTARY SCHOOL,2016-17,Y,62,82.3%,1.6%,11.3%,4.8%,1.6%,3.2%,0%,0%,91.9%,91.9%,90.3%,91.9%,91.9%,85.5%,51,1,7,3,1,2,0,0,5,5,6,5,5,9,PUBLIC SCHOOL,COUPEVILLE SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"6 SOUTH MAIN
COUPEVILLE
(48.212284, -122.686161)"
HAMLIN ROBINSON SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-8,0,1,"1700 E UNION ST.
SEATTLE
(47.612903, -122.309686)"
ALL SAINTS CATHOLIC SCHOOL,2016-17,Y,35,88.6%,8.6%,0%,2.9%,0%,2.9%,0%,0%,97.1%,97.1%,97.1%,97.1%,97.1%,97.1%,31,3,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,1,1,"3510 E 18TH AVE
SPOKANE
(47.639085, -117.357661)"
FROST ELEMENTARY,2016-17,Y,85,89.4%,2.4%,0%,8.2%,1.2%,5.9%,1.2%,0%,92.9%,92.9%,94.1%,92.9%,91.8%,92.9%,76,2,0,7,1,5,1,0,6,6,5,6,7,6,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"11801 NE 140TH
KIRKLAND
(47.725821, -122.183758)"
HARRY S TRUMAN ELEMENTARY SCHOOL,2016-17,Y,69,68.1%,1.4%,14.5%,15.9%,0%,14.5%,1.4%,0%,72.5%,72.5%,73.9%,71%,76.8%,69.6%,47,1,10,11,0,10,1,0,19,19,18,20,16,21,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"4505 NE 42ND AVE
VANCOUVER
(45.6547, -122.628342)"
BAILEY GATZERT ELEMENTARY SCHOOL,2016-17,Y,67,83.6%,0%,14.9%,1.5%,0%,0%,1.5%,0%,88.1%,88.1%,88.1%,88.1%,97%,89.6%,56,0,10,1,0,0,1,0,8,8,8,8,2,7,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"1301 E YESLER WY
SEATTLE
(47.601703, -122.316931)"
ARTHUR JACOBSEN ELEMENTARY,2016-17,Y,80,93.8%,1.3%,0%,5%,0%,5%,0%,0%,93.8%,93.8%,95%,93.8%,96.3%,95%,75,1,0,4,0,4,0,0,5,5,4,5,3,4,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"29205 132ND AVE SE
AUBURN
(47.340156, -122.165552)"
FAITH LUTHERAN SCHOOL,2016-17,Y,21,90.5%,9.5%,0%,0%,0%,0%,0%,0%,90.5%,90.5%,90.5%,90.5%,90.5%,90.5%,19,2,0,0,0,0,0,0,2,2,2,2,2,2,PRIVATE SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,1,1,"7075 PACIFIC AVE SE
LACEY
(47.041738, -122.785606)"
